,seller_state,customer_state,total_order,product_weight_g,product_square_cm,price,freight_value,avg_shipping_fee,shipping_fee_1000cm,shipping_fee_100g
102,PR,MA,44,86552.0,605033.0,8357.02,1775.82,40.359545454545454,2.935079574171987,2.0517376837045935
103,SC,ES,54,138180.0,986126.0,8748.38,1758.9,32.57222222222222,1.7836463088895336,1.2729049066435085
104,MG,SE,40,187310.0,1572823.0,5156.6,1725.17,43.12925,1.0968621389692292,0.9210239709572366
105,PR,AL,43,63087.0,533208.0,12442.87,1722.95,40.068604651162794,3.231290603291774,2.731069792508758
106,RJ,PA,39,46871.0,375669.0,7949.09,1607.32,41.21333333333333,4.278553726818023,3.4292419619807557
107,ES,MG,51,333480.0,834231.0,4696.33,1591.35,31.202941176470585,1.9075651707980164,0.47719503418495857
108,PR,MS,66,124122.0,913091.0,11573.98,1551.38,23.505757575757578,1.6990420450973673,1.2498831794524743
109,SP,RR,35,77181.0,629749.0,5531.69,1497.46,42.78457142857143,2.377868007730064,1.9401925344320492
110,BA,RS,42,75625.0,573235.0,13588.08,1493.95,35.570238095238096,2.606173733285651,1.9754710743801653
111,GO,RJ,59,56947.0,534929.0,5489.92,1473.36,24.972203389830508,2.754309450413045,2.5872477918064165
112,SC,CE,21,86311.0,347134.0,7425.27,1471.56,70.07428571428571,4.239169888285216,1.704950701532829
113,RS,DF,48,74165.0,640466.0,9458.5,1464.48,30.51,2.2865850802384515,1.9746241488572778
114,SC,PB,20,79270.0,476142.0,6505.95,1449.48,72.474,3.044217901382361,1.8285353853916992
115,PE,RJ,53,30816.0,241554.0,9788.68,1375.71,25.95679245283019,5.695248267468144,4.464271806853583
116,MG,PI,32,69803.0,508187.0,4036.12,1330.23,41.5696875,2.6175994269825873,1.9056917324470295
117,SC,MT,28,65815.0,520078.0,5625.89,1322.54,47.23357142857143,2.542964709139783,2.0094811213249257
118,MG,RN,33,118040.0,824543.0,4554.36,1270.74,38.50727272727273,1.5411446098020358,1.0765333785157574
119,SC,PA,21,39864.0,290016.0,6251.08,1258.83,59.94428571428571,4.340553624627606,3.157811559301625
120,BA,BA,74,197624.0,1184875.0,27728.45,1257.15,16.988513513513514,1.0609979955691529,0.6361322511435858
121,MA,RJ,42,19050.0,157320.0,3399.58,1249.43,29.748333333333335,7.941965420798373,6.5586876640419955
122,CE,SP,24,100450.0,758313.0,4891.52,1220.0,50.833333333333336,1.6088343467671002,1.214534594325535
123,MT,SP,34,68350.0,459170.0,4204.22,1203.96,35.41058823529412,2.622035411721149,1.7614630577907828
124,RS,MT,28,18000.0,245638.0,9320.69,1162.57,41.520357142857144,4.73285892247942,6.458722222222221
125,SC,MA,22,36111.0,432711.0,5060.59,1109.44,50.42909090909091,2.563928349406417,3.0723048378610396
126,MA,MG,32,17700.0,141360.0,3071.68,1093.43,34.1696875,7.735073571024336,6.177570621468926
127,ES,BA,29,191317.0,491543.0,2922.99,1082.9,37.341379310344834,2.2030626008304464,0.566023928871977
128,RS,PE,18,48025.0,235370.0,4424.75,1065.57,59.19833333333333,4.527212473977142,2.21878188443519
129,SC,PI,19,54164.0,285484.0,4924.79,1043.71,54.932105263157894,3.6559316809348337,1.9269440957093271
130,RJ,MS,43,50609.0,382824.0,7178.48,1037.93,24.137906976744187,2.711245898898711,2.0508802782113857
131,SC,MS,31,148095.0,813627.0,7751.66,1012.55,32.66290322580645,1.2444891823894733,0.6837165333063235
132,RS,PA,23,20860.0,222559.0,4944.61,997.44,43.366956521739134,4.481688001833222,4.781591562799617
133,RJ,MA,29,25728.0,383571.0,5716.24,960.05,33.1051724137931,2.502926446472752,3.731537624378109
134,DF,BA,37,37578.0,374033.0,5152.18,938.76,25.37189189189189,2.5098320201693434,2.4981638192559474
135,MA,RS,17,11050.0,85956.0,1923.83,925.52,54.442352941176466,10.767369351761365,8.375746606334841
136,BA,PE,35,66542.0,397960.0,13174.1,914.05,26.115714285714283,2.2968388782792237,1.3736437137447024
137,RJ,PB,24,34944.0,227063.0,4888.52,900.73,37.53041666666667,3.966872630063022,2.5776385073260073
138,RJ,PI,26,27328.0,250122.0,5946.47,886.3299999999999,34.089615384615385,3.54359072772487,3.243303571428571
139,RS,ES,29,47905.0,466401.0,3183.36,857.06,29.553793103448275,1.8376032641439448,1.7890825592318127
140,RJ,MT,31,26980.0,292302.0,4429.26,850.96,27.450322580645164,2.9112356398519337,3.154040029651594
141,RS,GO,25,41186.0,398835.0,4779.99,829.75,33.19,2.080434264796219,2.0146408973923178
142,RJ,RN,22,22052.0,200357.0,5997.46,828.18,37.64454545454545,4.133521663830063,3.7555777253763827
143,PR,RO,18,50842.0,245120.0,4128.09,808.67,44.92611111111111,3.299078002610966,1.590555052909012
144,ES,RS,21,158401.0,394293.0,2657.48,799.59,38.075714285714284,2.027908179957544,0.5047884798707079
145,PR,SE,21,34850.0,273998.0,4323.0,798.49,38.02333333333333,2.914218351958773,2.2912195121951218
146,DF,PR,32,27671.0,225959.0,4493.8,798.02,24.938125,3.531702654021305,2.8839579342994472
147,PR,RN,20,38500.0,132835.0,3896.09,766.33,38.316500000000005,5.769036774946362,1.9904675324675325
148,SC,RN,14,53464.0,279733.0,4452.58,758.44,54.174285714285716,2.711299703645977,1.418599431393087
149,PE,RS,14,36826.0,160474.0,6018.11,753.49,53.82071428571429,4.695402370477461,2.0460815728018247
